time_s,accel_x_g,accel_y_g,accel_z_g
0.8743,-0.3926,-9.9120,0.1197
0.8772,-0.3735,-9.8330,0.2298
0.8801,-0.3926,-9.8114,0.0742
0.8831,-0.3926,-9.9240,0.0622
0.8860,-0.3831,-9.9359,0.0455
0.8890,-0.4190,-9.9431,0.1125
0.8919,-0.3591,-9.9024,0.0599
0.8948,-0.4477,-9.8928,0.0934
0.8978,-0.4453,-9.9934,0.1628
0.9007,-0.4334,-9.9168,0.1556
0.9037,-0.4166,-9.9120,0.1030
0.9067,-0.3759,-9.9742,0.0455
0.9096,-0.4405,-9.9240,0.1149
0.9126,-0.3663,-9.9335,0.1269
0.9155,-0.3974,-10.0006,0.1077
0.9185,-0.4046,-9.8952,0.1173
0.9214,-0.4429,-9.9288,0.0742
0.9244,-0.4214,-9.9096,0.1125
0.9273,-0.4429,-9.9599,0.0144
0.9302,-0.3926,-9.9479,0.0694
0.9332,-0.4717,-9.9024,0.0359
0.9361,-0.3615,-9.8689,0.1437
0.9391,-0.4477,-9.9551,0.1484
0.9420,-0.4238,-9.8258,0.1437
0.9449,-0.3950,-9.8976,0.0670
0.9479,-0.4190,-9.9072,0.1149
0.9509,-0.3567,-9.9599,0.1077
0.9538,-0.4310,-9.9192,0.1221
0.9567,-0.3759,-9.9335,0.1125
0.9597,-0.3735,-9.9144,0.1317
0.9626,-0.4046,-9.8952,0.0670
0.9656,-0.4142,-9.8881,0.1413
0.9685,-0.3807,-9.9695,0.1628
0.9714,-0.4310,-9.9000,0.1652
0.9744,-0.4214,-9.9455,0.0958
0.9773,-0.4190,-9.9551,0.0144
0.9803,-0.4190,-9.8928,0.1125
0.9832,-0.4190,-9.9575,0.0551
0.9861,-0.4621,-9.9000,0.1293
0.9891,-0.4262,-9.9144,0.1173
0.9920,-0.4118,-10.0580,0.0886
0.9950,-0.4597,-9.9431,0.1508
0.9979,-0.4238,-10.1083,0.1053
1.0008,-0.4070,-9.8833,0.0670
1.0039,-0.4118,-9.8833,0.0742
1.0069,-0.4094,-9.9982,0.0239
1.0099,-0.4166,-9.9599,0.0742
1.0128,-0.4477,-9.9623,0.0958
1.0158,-0.3448,-9.9000,0.1269
1.0187,-0.3831,-9.9072,0.1149
1.0216,-0.3807,-9.9192,0.1149
1.0246,-0.4262,-9.9359,0.1293
1.0275,-0.4812,-9.9455,0.0575
1.0305,-0.4166,-9.9288,0.0646
1.0334,-0.4286,-9.9000,0.0407
1.0364,-0.4214,-9.9527,0.1532
1.0393,-0.4501,-9.9479,0.0646
1.0423,-0.3950,-9.9072,0.1030
1.0452,-0.4357,-9.9335,-0.0694
1.0482,-0.4357,-9.9216,0.0215
1.0511,-0.4118,-10.0868,0.1077
1.0541,-0.4501,-9.9479,0.1125
